frmConsumerSectionSales,ප්‍රාදේශීක දෛනික වෙළඳාම් - මූළු විකුණුම් සටහන් කිරීම
frmCreditSaleNote,ණයට විකුණුම් සටහන් කිරීම විකුණුම් ජර්නලය
frmConsumerSectionHandoverDailyCashSales,ප්‍රාදේශීක දෛනික වෙළඳා - විකුණුම් ලැබීම F10
frmCreditSaleReceive,ණයගැති ලැබීම් - F10
frmMultipleIncomeAmount,විවිධ ආදායම්
frmBranchCreditPurchaseNote,ශාඛා ගැනුම් (ණයට) -F16D
frmCashPurchaseNote,මුදලට ගැනුම් සටහන් කිරීම
frmCreditPurchaseNote,ණයට ගැනුම් සටහන් කිරීම ගැනුම් ජර්නලය
frmCashVoucherNewCreditPayment,ණයහිමි ගෙවීම්
frmBankAdvance,බැංකු ශාඛා අත්තිකාරම් ගෙවීම්
frmBranchAdvance,අත්තිකාරම් ගෙවීම්
frmSupplierReturnNote,ආපසු යැවූ
frmPurchase14C,14C – ගැනුම්
frm14CSales,14C – විකුණුම්
frm18InOutTransferOUT,18 යැවුම්
frm18InOutTransferIN,18 එවුම්  
frm17PriceDecrease,17 මිල අඩු කිරීම
frm17PriceIncreace,17 මිල වැඩි කිරීම
frmBankReceive,බැංකු ලැබීම්
frmCashVoucherNewPayUnderMaxNote,උපරිමය සටහන් කිරීම
frmCashVoucherNewPayUnderMaxReNote,උපරිමය නැවත සටහන් කිරීම
frmCashVoucherNewCashPayment,මුදල් ගෙවීම
frm17Dispatch,17 අපතේ යැවීම්
frmCustomerReturnNote,ආපසු එවුම්
frmF3,සුළු මුදල් පොත
frm17BadStock,17 නරක් වීම
